,name,description,closing_date,description2,beds
0,Providence Healthcare — Project #23-004,Development of a 180-bed long-term care home in Scarborough,Closed,"The MLTC is reviewing a proposal from Unity Health Toronto (the licensee) for issuing a long-term care (LTC) home licence for Providence Healthcare (the Home), a proposed 468-bed LTC home to be developed in Scarborough, Ontario. The proposal involves:",180
0,Maxville Manor — Project #23-003,The development of a 160-bed long-term care in Maxville,Closed,"The MLTC is reviewing a proposal from Maxville Manor (the Licensee) for issuing a long-term care (LTC) home licence for Maxville Manor, a proposed 160-bed LTC home to be redeveloped at 80 Mechanics Street West in Maxville, Ontario Maxville, Ontario. The proposal involves:",160
0,Lennox and Addington County General Hospital — Project #23-002,Development of a 128-bed long-term care home in Napanee,Closed,"The MLTC is reviewing a proposal from Lennox and Addington County General Hospital Association (the “Licensee”), for issuing a new long-term care (LTC) home licence for Lennox and Addington County General Hospital (the Home), a 128-bed LTC home to be redeveloped in Napanee, Ontario.",128
0,Woods Park Care Centre — Project #23-001,Licence Transfer of the LTC Home’s Licence to The Royale Development GP Corporation as a general partner of The Royale Development LP,Closed,"The MLTC is reviewing a proposal from a licence transfer request from Woods Park Care Centre Inc. (the Current Licensee) related to Woods Park Care Centre (the Home), a 123-bed long-term care (LTC) home, located in Barrie, Ontario.",
0,Champlain Long Term Care Residence — Project #22-054,Development of a 224-bed long-term care home in Orleans,Closed,"The MLTC is reviewing a proposal from the DTOC II Long Term Care LP, by its general partner, DTOC II Long Term Care MGP (a general partnership) by its partners, DTOC II Long Term Care GP Inc. and Arch Venture Holdings Inc. (the Licensee) for issuing a long-term care (LTC) home licence to Champlain Long Term Care Residence (the Home), a 60-bed LTC home currently located at 428 Front Road West in L’Orignal, Ontario.",224
0,Pioneer Manor — Project #22-052,Development of a 444-bed long-term care home in Sudbury,Closed,"The MLTC is reviewing a proposal from the City of Greater Sudbury (the Operator) for issuing a long-term care (LTC) home Approval for Pioneer Manor (the Home), a 433-bed long-term care (LTC) home located at 960 Notre Dame Avenue in Sudbury, Ontario.",444
0,Schlegel Villages-Milton — Project #22-051,Development of a 192-bed long-term care home in Milton,Closed,"The MLTC is reviewing a proposal from the Schlegel Villages Inc. (the Licensee) for issuing a long-term care (LTC) home licence for Schlegel Villages Milton (the Home), a proposed new LTC home to be developed on the North West corner of Tremaine Rd and Dymott Ave in Milton, Ontario. ",192
0,Southbridge Chelsey Park — Project #22-050,Development of a 160-bed long-term care home in London,Closed,"The MLTC is reviewing a proposal from CVH (No. 3) (the “Licensee”), a subsidiary of Southbridge Care Homes, for issuing a new long-term care (LTC) home licence for Southbridge Chelsey Park (to be formerly known as Chelsey Park) (the“Home”), a 247-bed LTC home to be redeveloped in London, Ontario.",160
0,Wellington House Nursing Home  — Project #22-049,Development of a 128-bed long-term care home in Prescott,Closed,"The MLTC is reviewing a proposal from Arch Long Term Care LP by its General Partner, Arch Long Term Care MGP, by its partners, Arch Long Term Care GP Inc. and Arch Capital Management Corporation (the “Licensee”) for issuing a long-term care (LTC) home license for Wellington House Nursing Home (the “Home”), a proposed 128-bed LTC home to be developed in Prescott, Ontario.",128
0,Franklin Gardens Long Term Care Home — Project #22-048,Development of a 160-bed long-term care home in Leamington,Closed,"The MLTC is reviewing a proposal from DTOC Long Term Care LP, by its general partner, DTOC Long Term Care MGP (a general partnership) by its partners, DTOC Long Term Care GP Inc. and Arch Venture Holdings Inc. (the “Licensee”) for issuing a long-term care (LTC) home licence for Franklin Gardens Long Term Care Home (the “Home”), a proposed 160-bed LTC home to be developed in Leamington, Ontario.",160
0,Perth Community Care Centre — Project #22-047,Development of a 160-bed long-term care home in Perth,Closed,"The MLTC is reviewing a proposal from Arch Long Term Care LP by its General Partner, Arch Long Term Care MGP, by its partners, Arch Long Term Care GP Inc. and Arch Capital Management Corporation (the “Licensee”) for issuing a long-term care (LTC) home licence for Perth Community Care Centre (the “Home”), a proposed 160-bed LTC home to be developed in Perth, Ontario.",160
0,Humber Meadows Long Term Care Home — Project #22-046,Development of a 320-bed long-term care home in Toronto,Closed,"The MLTC is reviewing a proposal from Humber Meadows Long-Term Care Home (the “Proposed Licensee”) for issuing a long-term care (LTC) home licence for Humber Meadows Long-Term Care Home (the “Home”), a new 320-bed LTC home to be developed at 2109 Finch Avenue West in Toronto, Ontario.",320
0,The Village of Winston Park — Project #22-045,Development of a 288-bed long-term care home in Kitchener,Closed,"The MLTC is reviewing a proposal from Schlegel Villages Inc. (the Licensee) for issuing a long-term care (LTC) home licence for The Village of Winston Park (the Home), a proposed 288-bed LTC home to be redeveloped in Kitchener, Ontario.",288
0,Careswell Residences-Milton — Project #22-044,Development of a 192-bed long-term care home in Milton,Closed,"The MLTC is reviewing a proposal from Excelligent Care (the Proposed Licensee) for issuing a long-term care (LTC) home licence for Careswell Residences - Milton (the Home), a new 192-bed LTC home proposed to be developed at 6360 Regional Road 25 in Milton, Ontario.",192
0,Camilla Care Community — Project #22-043,Licence Transfer from Vigour Limited Partnership on behalf of Vigour General Partner Inc. to Partners Community Health,Closed,"The MLTC is reviewing a licence transfer request from Vigour Limited Partnership on behalf of Vigour General Partner Inc. (the Current Licensee), related to Camilla Care Community, a 236-bed long-term care (LTC) home, located in Mississauga, Ontario (the Home).",
0,Simcoe Manor Home for the Aged — Project #22-042,Development of a 160-bed long-term care home in Beeton,Closed,"The MLTC is reviewing a proposal from the Corporation of the County of Simcoe (the “Operator”) for issuing a new long-term care (LTC) Home Approval for Simcoe Manor Home for the Aged (the “Home”), a 126-bed LTC home to be developed at 5988 8th Line, Maine Street East in Beeton, Ontario.",160
0,Regional Municipality of Durham-North Pickering — Project #22-041,Development of a 200-bed long-term care home in Pickering,Closed,"The MLTC is reviewing a proposal from Regional Municipality of Durham (the “Operator”) for issuing a new Long-Term care (LTC) Home Approval for Regional Municipality of Durham – North Pickering (the “Home”), a 200-bed LTC home to be developed on Whitevale Road in Pickering, Ontario.",200
0,Clare McFaul — Project #22-040,Development of a 128-bed long-term care home in Madoc,Closed,"The MLTC is reviewing a proposal from UniversalCare Canada Inc. (the “Proposed Licensee”) for issuing a new long-term care (LTC) Home Licence for Clare McFaul LTC (Centre Hastings) (the “Home”), a 128-bed LTC home to be developed at 208 Lawrence Street West in Madoc, Ontario.",128
0,Southbridge Goderich — Project #22-039,Development of a 160-bed long-term care home in Southampton,Closed,"The MLTC is reviewing a proposal from CVH (No. 2) (the “Licensee”) for issuing a new long-term care (LTC) home licence for Southbridge Goderich (to be formerly known as Maitland Manor) (the “Replacement Home”), a 160-bed LTC home to be developed in Goderich, Ontario.",160
0,Southampton Care Centre — Project #22-038,Development of a 160-bed long-term care home in Southampton,Closed,"The MLTC is reviewing a proposal from Southampton Care Centre Inc. (the Licensee), a subsidiary of Jarlette Health Services, for issuing a new long-term care (LTC) home licence to Southampton Care Centre (the Home), an 88-bed LTC home currently located at 140 Grey Street in Southampton, Ontario.",160
0,Maple Villa Long Term Care Centre — Project #22-037,Development of a 256-bed long-term care home in Burlington,Closed,"The MLTC is reviewing a proposal from Better Life LTC Inc. (the “Licensee”) for issuing a new long-term care (LTC) home licence for Maple Villa Long Term Care Centre (the “Home”), a 256-bed LTC home to be developed in Burlington, Ontario.",256
0,Macassa Lodge — Project #22-036,Development of a 290-bed long-term care home in Hamilton,Closed,"The MLTC is reviewing a proposal from the City of Hamilton (the “Operator”) for issuing an amended long-term care (LTC) Home Approval for Macassa Lodge (the “Home”), a 270-bed LTC home to be developed in Hamilton, Ontario.",290
0,The Four Seasons Lodge — Project #22-035,Development of a 96-bed long-term care home in Deep River,Closed,"The MLTC is reviewing a proposal from Deep River and District Hospital (the Licensee) for issuing a long-term care (LTC) home licence for The Four Seasons Lodge (the Home), a proposed 96-bed LTC home to be developed in Deep River, Ontario.",96
0,Lakeridge Health Ajax Long Term Care Home — Project #22-034,Development of a 320-bed long-term care home in Ajax,Closed,"The MLTC is reviewing a proposal from the Lakeridge Health (the “Licensee”) for issuing a long-term care (LTC) home licence for Lakeridge Health Ajax Long Term Care Home (the “New Home”), a proposed new 320-bed LTC home to be developed in Ajax, Ontario.",320
0,The Jewish Home for the Aged — Project #21-033,Licence Transfer of the LTC Home’s Licence to Baycrest Hospital,Closed,"The MLTC is reviewing a proposal from The Jewish Home for the Aged (the Current Licensee) in conjunction with Baycrest Hospital (the Proposed Licensee) for a licence transfer of The Jewish Home for the Aged, a 472-bed, long-term care home located in North York, Ontario (the Home).",
0,Two Long-Term Care Homes in Oakville — Project #21-032,Development of two 320-bed long-term care homes in Oakville,Closed,The MLTC is reviewing a proposal from Schlegel Villages Inc. (the “Proposed Licensee”) for issuing two long-term care (LTC) home licenses for two Homes to be developed at 2165 Dundas Street West in Oakville.,320
0,DTOC II Vaughan — Project #21-031,Development of a 256-bed long-term care home in Vaughan,Closed,"The MLTC is reviewing a proposal from DTOC II Long Term Care LP, by its general partner, DTOC II Long Term Care MGP (a general partnership) by its partners, DTOC II Long Term Care GP Inc. and Arch Venture Holdings Inc. (the “Proposed Licensee”) for issuing a long-term care (LTC) home licence for DTOC II - Vaughan (the “New Home”), a proposed 256-bed LTC home to be developed in Vaughan, Ontario.",256
0,peopleCare Tavistock — Project #21-030,Development of a 128-bed long-term care home in Tavistock,Closed,"The Ministry of Long-Term Care is reviewing a proposal from peopleCare Communities Inc. (the licensee) for issuing a long-term care (LTC) home licence for peopleCare Tavistock (the home), a 100-bed long-term care home located at 28 William Street S in Tavistock, Ontario.",128
0,Oakwood Manor — Project #21-028,Development of a 288-bed long-term care home in Niagara Falls,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Maryban Holdings Ltd. (the licensee) for issuing a long-term care (LTC) home licence for Oakwood Park Lodge (the home), a proposed 288-bed long-term care home to be developed in Niagara Falls, Ontario.",288
0,Extendicare Sudbury — Project #21-029,Development of a 320-bed long-term care home in Sudbury,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Extendicare (Canada) Inc. (the licensee) for issuing a new long-term care (LTC) home licence for Extendicare Sudbury #2 (the new home), a proposed new long-term care home to be developed at Bancroft Drive and Nottingham Avenue in Sudbury, Ontario.",320
0,Southbridge Port Hope — Project #21-027,Development of a 192-bed long-term care home in Port Hope,Closed,"The Ministry of Long-Term Care is reviewing a proposal from CVH (No. 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the proposed licensee) for issuing a new long-term care (LTC) home licence for Southbridge Port Hope (the new home), a proposed new long-term care home to be developed at 20 Hope Street South in Port Hope, Ontario.",192
0,Southbridge Pickering — Project #21-026,Development of a 320-bed long-term care home in Pickering,Closed,"The Ministry of Long-Term Care is reviewing a proposal from CVH (No. 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the licensee) for issuing a new long-term care (LTC) home licence to Southbridge Pickering (Orchard Villa), a 233-bed long-term care home located at 1955 Valley Farm Road in Pickering, Ontario.",320
0,Carefirst Campus of Care — Project #21-025,Development of a 120-bed long-term care home in Richmond Hill,Closed,The Ministry of Long-Term Care is reviewing a proposal from Carefirst Seniors and Community Services Association (the proposed licensee) for issuing a new long-term care (LTC) home licence for Carefirst Campus of Care (the home).,120
0,Tuoi Hac Village — Project #21-024,Development of a 160-bed long-term care home in Brampton,Closed,The Ministry of Long-Term Care is reviewing a proposal from Golden Age Village for the Elderly (the proposed licensee) for issuing a long-term care (LTC) home licence for Tuoi Hac Village (the home).,160
0,Golden Manor — Project #21-022,Development of a 192-bed long-term care home in Timmins,Closed,"The Ministry of Long-Term Care is reviewing a proposal from The Corporation of the City of Timmins (the “operator”) for issuing a new long-term care (LTC) home approval for Golden Manor (the “home”), a 177-bed long-term care home located at 481 Melrose Boulevard in Timmins, Ontario.",192
0,Carlingview Manor — Project #21-021,Development of a 320-bed long-term care home in Orléans,Closed,"The Ministry of Long-Term Care (MLTC) is reviewing a proposal from AXR Operating (National) LP, by its general partners (the proposed licensee) for issuing a long-term care (LTC) home licence for Carlingview Manor (the home), a 303-bed long-term care home currently located at 2330 Carling Avenue in Ottawa Ontario.",320
0,Tilbury Manor Nursing Home — Project #21-020,Development of a 160-bed long-term care home in Tilbury,Closed,"The Ministry of Long-Term Care (MLTC) is reviewing a proposal from Arch Long Term Care LP by its General Partner, Arch Long Term Care MGP, by its partners, Arch Long Term Care GP Inc. and Arch Capital Management Corporation (the licensee) for issuing a long-term care (LTC) home licence to Tilbury Manor Nursing Home (the home), a 75-bed long-term care  home currently located at 16 Fort Street in Tilbury, Ontario.",160
0,Rainy River Health Care — Project #21-023,Issuance of a new long-term care licence to Rainy River Health Care,Closed,"The Ministry of Long-Term Care is reviewing a proposal to issue a new long-term care (LTC) licence to Riverside Health Care Facilities Inc. (the licensee) for Rainy River Health Centre (the home), a 21-bed long-term care home located at 114 Fourth Street in Rainy River, Ontario. The current licence expires on June 23, 2024.",
0,Grey Gables Home for the Aged — Project #21-018,Development of a 128-bed long-term care home in Markdale,Closed,"The MLTC is reviewing a proposal from the Corporation of the County of Grey (the operator) for issuing an amended long-term care (LTC) home approval for Grey Gables Home for the Aged (the home), a 66-bed long-term care home located at 206 Toronto Street South in Markdale, Ontario.",128
0,The Wellington Nursing Home — Project #21-017,Licence transfer of the LTC home’s licence,Closed,"The MLTC is reviewing a proposal from Barton Retirement Inc. (the current licensee and vendor) in conjunction with DTOC III Long Term Care LP by its general partner, DTOC III Long Term Care MGP (a general partnership), by its partners DTOC III Long Term Care GP Inc. and Arch Venture Holdings Inc. (the proposed purchaser) for a licence transfer of The Wellington Nursing Home, a 102-bed, long-term care home located in Hamilton, Ontario (the Home).",
0,John Noble Home — Project #21-016,Development of a 176-bed long-term care home in Brantford,Closed,"The MLTC is reviewing a proposal from The Corporation of the City of Brantford and the Corporation of the County of Brant (the operator) for issuing an amended LTC home approval to John Noble Home (the home), a 156-bed LTC home currently located at 97 Mount Pleasant Road in Brantford, Ontario.",176
0,Extendicare Kingston — Project #21-015,Development of a 192-bed long-term care home in Kingston,Closed,"The MLTC is reviewing a proposal from Extendicare (Canada) Inc. (the licensee) for issuing a new long-term care (LTC) home licence to Extendicare Kingston (the home), a 150-bed LTC home currently located at 309 Queen Mary Road in Kingston, Ontario.",192
0,Birchwood Terrace — Project #21-014,Licence transfer of the LTC home’s licence to Wiigwas Elder and Senior Care,Closed,"The MLTC is reviewing a proposal a licence transfer request from CVH (No. 2) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (the licensee) to transfer the licence of Birchwood Terrace (the home), a 96-bed, structurally classified as “C” long-term care (LTC) home, located at 237 Lakeview Drive in Kenora, Ontario to Wiigwas Elder and Senior Care a new non-profit organization created by Kenora Chiefs Advisory.",
0,Revera Long Term Care Inc. — Project #21-013,"Licence Transfer for 24 long-term care homes in Blenheim, Brantford, Newmarket, Kitchener, Newcastle, St. Catharines, Picton, Stratford, Scarborough, Grimsby, Toronto, Orillia, Lucknow, Uxbridge, Cambridge, Elmvale, Sarnia, Owen Sound, Paris, Oshawa, Kincardine, Ridgetown and Etobicoke",Closed,The MLTC is reviewing a proposal from Revera Long Term Care Inc. (the Current Licensee) related to the following 24 long-term care (LTC) homes to transfer licences to the respective proposed licensees noted below which are all affiliates of the Current Licensee:,24
0,Hardy Terrace — Project #21-012,Transfer of the LTC Home's Licence to Hardy Terrace LTC Operating Limited,Closed,"The MLTC is reviewing a licence transfer request from Diversicare Canada Management Services Co., Inc. (the Licensee) related to Hardy Terrace, a 101-bed long-term care (LTC) home, located in Brantford, Ontario (the Home).",
0,Fairvern Nursing Home — Project #21-011,Issuance of a LTC Municipal Home Approval to the District of the Municipality of Muskoka,Closed,"The MLTC is reviewing a proposal from Huntsville District Nursing Home Inc. (the Licensee) related to Fairvern Nursing Home, a 76-bed non-profit long-term care (LTC) home, currently located at 14 Mill Street in Huntsville, Ontario (the Home).",
0,Rose of Sharon Korean Long Term Care — Project #21-010,Licence Transfer of the LTC Home's Licence to Rykka Care Centres LP,Closed,"The MLTC is reviewing a proposal a licence transfer request from Deloitte Restructuring Inc., (the Court-Appointed Receiver) on behalf of Rose of Sharon (Ontario) Retirement Community (the Licensee) related to Rose of Sharon Korean Long Term Care (the Home) located in Toronto, Ontario.",
0,H.J. McFarland Memorial Home — Project #21-009,Development of a 160-bed long-term care home in Picton,Closed,"The MLTC is reviewing a proposal from The Corporation of the County of Prince Edward (the Operator) for issuing a new long-term care (LTC) home approval for H.J. McFarland Memorial Home (the Home), a 84-bed LTC home located at 603 County Road 49 in Picton, Ontario.The proposal involves:",160
0,Southbridge London South — Project #21-008,Development of a 160-bed long-term care home in London,Closed,"The MLTC is reviewing a proposal from CVH (No. 3) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the Licensee) for issuing a long-term care (LTC) home licence to a LTC home to be known as Southbridge London South (the new Home), a new 160-bed LTC home to be located at Wharncliffe Road South and Morgan Avenue in London, Ontario.",160
0,Generations — Project #21-007,Development of a 128-bed long-term care home in Toronto,Closed,"The MLTC is reviewing a proposal from Multi-Generational Housing and Community Centres Toronto (the Proposed Licensee) for issuing a long-term care (LTC) home licence for Generations (the Home), a new 128-bed LTC home to be located at 844 Don Mills in Toronto, Ontario.",128
0,Gilmore Lodge — Project #20-049,Development of a 160-bed long-term care home in Fort Erie,Closed,"The MLTC is reviewing a proposal from The Regional Municipality of Niagara (the Operator) for issuing a new Municipal Approval (Approval) for a new 160-bed LTC home to be located at 200 Garrison Road in Fort Erie, Ontario.",160
0,Sprucedale Care Centre — Project #21-001,Development of a 128-bed long-term care home in Strathroy,Closed,"The MLTC is reviewing a proposal from Sprucedale Care Centre Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for Sprucedale Care Centre, a LTC home located at 96 Kittridge Avenue East in Strathroy, Ontario.",128
0,Dover Cliffs — Project #21-002,Development of a 128-bed long-term care home in Port Dover,Closed,"The MLTC is reviewing a proposal from AXR Operating (National) LP. (the Licensee) for issuing a new long-term care (LTC) home licence for Dover Cliffs, a LTC home currently located at 501 St. George Street in Port Dover, Ontario.",128
0,Heartwood — Project #21-003,Development of a 128-bed long-term care home in Cornwall,Closed,"The MLTC is reviewing a proposal from AXR Operating (National) LP. (the Licensee) for issuing a new long-term care (LTC) home licence for Heartwood, a LTC home currently located at 201-11th Street East in Cornwall, Ontario.",128
0,Stoneridge Manor — Project #21-004,Development of a 128-bed long-term care home in Carleton Place,Closed,"The MLTC is reviewing a proposal from AXR Operating (National) LP. (the Licensee) for issuing a new long-term care (LTC) home licence for Stoneridge Manor, a LTC home currently located at 256 High Street in Carleton Place, Ontario.",128
0,Glen Hill Strathaven — Project #21-005,Development of a 128-bed long-term care home in Bowmanville,Closed,"The MLTC is reviewing a proposal from Glen Hill Terrace Terrace Christian Homes Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for Glen Hill Strathaven, a LTC home currently located at 264 King Street East in Bowmanville, Ontario.",128
0,Rockwood Terrace — Project #21-006,Development of a 128-bed long-term care home in Durham,Closed,"The MLTC is reviewing a proposal from the Corporation of the County of Grey (the Operator) for issuing a new long-term care (LTC) home licence for Rockwood Terrace, a LTC home currently located at 575 Saddler Street in Durham, Ontario.",128
0,Meaford Long Term Care-a peopleCare Community — Project #20-050,Development of a 128-bed long-term care home in Meaford,Closed,"The Ministry of Long-Term Care is reviewing a proposal from peopleCare Communities Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for Meaford Long Term Care — a peopleCare Community (the Home), currently a 77-bed LTC home located at 135 William Street in Meaford, Ontario.",128
0,Country Terrace — Project #20-048,Development of a 128-bed long-term care home in Komoka,Closed,"The MLTC is reviewing a proposal from Omni Healthcare (CT) GPCO Ltd. as General Partner of Omni Healthcare (Country Terrace) Limited Partnership (the Licensee) for issuing a new long-term care (LTC) home licence for Country Terrace (the Home), a 120-bed LTC home located at 10072 Oxbow Drive, R.R. #3 in Komoka, Ontario.",128
0,Royal Rose Place — Project #20-028,Development of a 160-bed long-term care home in Welland,Closed,"The MLTC is reviewing a proposal from 859530 Ontario Inc. (operating as Jarlette Health Services) (the Licensee) for issuing a new long-term care (LTC) home licence for Royal Rose Place, a LTC home currently located at 635 Prince Charles Drive North in Welland, Ontario.",160
0,Runnymede Long Term Care Home-Project — Project #20-047,Development of a 200-bed long-term care home in Toronto,Closed,"The MLTC is reviewing a proposal from Runnymede Long Term Care (the Proposed Licensee) for issuing a long-term care (LTC) home licence for Runnymede Long Term Care Home (the Home), a new 200-bed LTC home to be located at 625 Runnymede Road in Toronto, Ontario.",200
0,Wellington Park Care Centre — Project #20-022,Development of a 224-bed long-term care home in Burlington,Closed,"The MLTC is reviewing a proposal from Rykka Care Centres LP (the Licensee) for issuing a new long-term care (LTC) home licence for Wellington Park Care Centre, a LTC home currently located at 802 Hager Avenue in Burlington, Ontario.",224
0,Brouillette Manor — Project #20-040,Development of a 96-bed long-term care home in Tecumseh,Closed,"The MLTC is reviewing a proposal from 1230839 Ontario Limited (the Licensee) for issuing a new long-term care (LTC) home licence for Brouillette Manor (the Home), a 60-bed LTC home located at 11900 Brouillette Court in Tecumseh, Ontario.",96
0,Cassellholme — Project #20-041,Development of a 264-bed long-term care home in North Bay,Closed,"The MLTC is reviewing a proposal from The Board of Management for the District of Nipissing East (the Operator) for issuing a new long-term care (LTC) home approval for Cassellholme (the Home), a 240-bed LTC home located at 400 Olive Street in North Bay, Ontario.",264
0,Providence Manor — Project #20-042,Development of a 320-bed long-term care home in Kingston,Closed,"The MLTC is reviewing a proposal from Providence Care Centre (the Licensee) for issuing a new long-term care (LTC) home licence for Providence Manor (the Home), a 243-bed LTC home located at 275 Sydenham Street in Kingston, Ontario.",320
0,Shalom Manor-Hamilton — Project #20-043,Development of a 128-bed long-term care home in Hamilton,Closed,"The MLTC is reviewing a proposal from Shalom Manor Long Term Care Home (the Licensee) for issuing a new long-term care (LTC) home licence for Shalom Manor-Hamilton (the Home), a new 128-bed LTC home to be located at 1415 Upper Wellington Street in Hamilton, Ontario.",128
0,Foyer Richelieu Welland — Project #20-045,Development of a 128-bed long-term care home in Welland,Closed,"The MLTC is reviewing a proposal from Foyer Richelieu Welland (the Licensee) for issuing a new long-term care (LTC) home licence for Foyer Richelieu Welland (the Home), a 65-bed (62 regular and 3 temporary interim) LTC home located at 655 Tanguay Avenue in Welland, Ontario.",128
0,Revera Long-Term Care Inc. — Project #20-046,"Licence Transfer for seven long-term care homes in Hamilton, Ottawa, Carleton Place, Etobicoke, Hanover, Cornwall and Port Dover",Closed,The MLTC is reviewing a proposal from Revera Long Term Care Inc. related to the following seven long-term care (LTC) homes.,
0,Sherbourne Place — Project #20-039,Development of a 220-bed long-term care home in Toronto,Closed,"The MLTC is reviewing a proposal The Rekai Centres (the Licensee) for issuing a new long-term care (LTC) home licence for Sherbourne Place, a LTC home currently located at 345 Sherbourne Street in Toronto, Ontario.",220
0,Dundas Manor Nursing Home — Project #20-035,Development of a 128-bed long-term care home in Winchester,Closed,"The MLTC is reviewing a proposal from Rural Healthcare Innovations Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Dundas Manor Nursing Home, a LTC home currenlty located at 533 Clarence Street in Winchester, Ontario.",128
0,Hellenic Home Scarborough II — Project #20-036,Development of a 128-bed long-term care home in Scarborough,Closed,"The MLTC is reviewing a proposal from Hellenic Home for the Aged (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Hellenic Home Scarborough II, a new LTC home to be located in Scarborough, Ontario.",128
0,Waters Edge Care Community — Project #20-037,Development of a 160-bed long-term care home in North Bay,Closed,"The MLTC is reviewing a proposal from 2063414 Ontario Limited as General Partner of 2063414 Investment LP (the Current Licensee, a subsidiary of Sienna Senior Living Inc. (Sienna)), for issuing a new long-term care (LTC) home licence for up to 30 years for Waters Edge Care Community, a LTC home currently located at 401 William Street in North Bay, Ontario.",160
0,Fox Ridge Care Community — Project #20-038,Development of a 160-bed long-term care home in Brantford,Closed,"The MLTC is reviewing a proposal from  2063414 Ontario Limited as General Partner of 2063414 Investment LP (the Current Licensee, a subsidiary of Sienna Senior Living Inc. (Sienna)) for issuing a new long-term care (LTC) home licence for Fox Ridge Care Community, a LTC home currently located at 389 West Street in Brantford, Ontario.",160
0,Woodland Villa — Project #20-014,Development of a 128-bed long-term care home in Long Sault,Closed,"The MLTC is reviewing a proposal from 0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Woodland Villa, a LTC home located at 30 Milles Roches Road in Long Sault, Ontario.",128
0,Almonte Country Haven — Project #20-015,Development of a 96-bed long-term care home in Almonte,Closed,"The MLTC is reviewing a proposal from 0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Almonte Country Haven, a LTC home located at 333 Country Street in Almonte, Ontario.",96
0,Pleasant Meadow Manor — Project #20-016,Development of a 96-bed long-term care home in Norwood,Closed,"The MLTC is reviewing a proposal from 0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Pleasant Meadow Manor, a LTC home located at 99 Alma Street in Norwood, Ontario.",96
0,Southbridge Lakehead — Project #20-017,Development of a 160-bed long-term care home in Thunder Bay,Closed,"The MLTC is reviewing a proposal from CVH (No. 9) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (the Licensee) for issuing a new long-term care (LTC) home licence for Southbridge Lakehead, a LTC home currently located at 135 South Vickers Street in Thunder Bay, Ontario.",160
0,Linhaven — Project #20-018,Development of a 261-bed long-term care home in St. Catharines,Closed,"The MLTC is reviewing a proposal from The Regional Municipality of Niagara (the Operator) for issuing a new long-term care (LTC) home approval for Linhaven, a LTC home located at 403 Ontario Street in St. Catharines, Ontario.",261
0,Griffin Manor — Project #20-019,Development of 192-bed long-term care home in Hamilton,Closed,"The MLTC is reviewing a proposal from The Ridelle Limited Partnership by its General Partner Griffin Manor Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Griffin Manor, a LTC home to be located in Hamilton, Ontario.",192
0,Schlegel Villages — The Village of Winston Park — Project #20-020,Development of 192-bed long-term care home in Kitchener,Closed,"The MLTC is reviewing a proposal from Schlegel Villages Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for Schlegel Villages – The Village of Winston Park, a LTC home located at 695 Block Line Road in Kitchener, Ontario.",192
0,Résidence Prescott et Russell — Project #20-021,Development of a 224-bed long-term care home in Hawkesbury,Closed,"The MLTC is reviewing a proposal from United Counties of Prescott and Russell (the Operator) for issuing a new long-term care (LTC) home approval for Résidence Prescott et Russell, a LTC home currently located at 1020 Cartier Boulevard in Hawkesbury, Ontario.",224
0,Saint Mary's Care Centre — Project #20-024,Development of a 160-bed long-term care home in Orillia,Closed,"The MLTC is reviewing a proposal from Saint Mary's Care Centre Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Saint Mary's Care Centre, a LTC home to be located in Orillia, Ontario.",160
0,Maple View Lodge — Project #20-025,Redevelopment of a 192-bed long-term care home in Athens,Closed,"The MLTC is reviewing a proposal from United Counties of Leeds and Grenville (the Operator) for issuing a new long-term care (LTC) home approval for Maple View Lodge, a LTC home currently located at 746 County Road, 42 East in Athens, Ontario.",192
0,Royal Terrace — Project #20-026,Redevelopment of 96-bed long-term care home in Palmerston,Closed,"The MLTC is reviewing a proposal from Shanti Enterprises Limited (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Royal Terrace, a LTC home currently located at 600 Whites Road in Palmerston, Ontario.",96
